Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
MDL_context::try_acquire_lock_impl,0.94,1.28,1.1011
get_mm_tree,0.98,1.24,1.0924999999999998
setup_fields,0.97,1.24,1.0871
malloc,0.96,1.2,1.0679999999999998
skb_release_head_state,0.82,1.37,1.0577
unix_destruct_scm,0.81,1.36,1.0534000000000003
unix_stream_sendmsg,0.9,1.2,1.0470000000000004
sock_wfree,0.81,1.36,1.0455999999999999
btr_cur_optimistic_insert,0.63,1.34,1.0429000000000006
close_thread_tables,0.94,1.19,1.0331000000000001
unix_write_space,0.77,1.31,1.0075999999999998
ha_commit_low,0.73,1.22,0.9974000000000001
Buf_fetch_normal::get,0.83,1.13,0.9759000000000003
ha_innobase::extra,0.83,1.06,0.9336999999999999
rec_get_offsets,0.79,1.12,0.9253000000000003
lex_start,0.82,1.09,0.9228999999999996
build_equal_items,0.79,1.05,0.9122000000000006
"contextualize_array<Parse_context, Mem_root_array_YY<PT_table_reference*> >",0.8,1.02,0.8992999999999999
ha_innobase::update_thd,0.78,1.02,0.8952000000000004
Query_result_send::send_result_set_metadata,0.76,1.07,0.8911
JOIN::init_planner_arrays,0.72,0.98,0.8478999999999998
PT_table_factor_table_ident::contextualize,0.74,0.95,0.8428999999999999
handler::ha_index_init,0.7,0.93,0.8170999999999998
Session_sysvars_tracker::mark_as_changed,0.7,0.97,0.8165000000000002
binlog_log_row,0.69,0.9,0.7841000000000006
THD::send_result_metadata,0.66,0.94,0.7713000000000004
ha_innobase::info_low,0.66,0.9,0.7682999999999996
pfs_digest_end_vc,0.66,0.87,0.7565000000000001
sys_futex,0.67,0.82,0.7465999999999998
malloc_consolidate,0.62,0.87,0.7428999999999999
THD::cleanup_after_query,0.63,0.87,0.7415000000000002
do_futex,0.66,0.81,0.7307000000000002
ha_innobase::change_active_index,0.61,0.83,0.7238999999999998
cmp_dtuple_rec_with_match_low,0.62,0.84,0.7160999999999997
alloc_query,0.6,0.81,0.7058
MYSQL_BIN_LOG::process_commit_stage_queue,0.4,0.93,0.7036999999999998
MaterializeIterator<DummyIteratorProfiler>::Init,0.61,0.82,0.7001
system_call_after_swapgs,0.6,0.85,0.6979
handler::ha_external_lock,0.6,0.81,0.6960999999999997
Protocol_classic::parse_packet,0.55,0.87,0.6933999999999996
Buf_fetch<Buf_fetch_normal>::lookup,0.56,0.82,0.6905000000000002
Query_block::add_table_to_list,0.61,0.78,0.6834999999999998
Table_ref::fetch_number_of_rows,0.55,0.81,0.6788999999999997
trx_undo_report_row_operation,0.28,0.99,0.6757
THD::send_statement_status,0.58,0.82,0.6734
lock_table,0.2,1.23,0.6597000000000002
mutex_enter_inline<PolicyMutex<TTASEventMutex<GenericPolicy> > >,0.55,0.74,0.6576
Sql_cmd_select::precheck,0.55,0.74,0.6551
ext4_file_write,0.51,0.76,0.6513999999999999
generic_file_aio_write,0.5,0.76,0.6447999999999999
__generic_file_aio_write,0.49,0.75,0.6364999999999997
MEM_ROOT::AllocSlow,0.55,0.74,0.6245999999999999
trx_commit,0.31,0.9,0.6220999999999999
innobase_commit_low,0.32,0.84,0.6186
trx_commit_for_mysql,0.32,0.84,0.6165
trx_commit_low,0.3,0.9,0.6156000000000001
_int_free,0.53,0.71,0.6116000000000001
futex_wait,0.54,0.7,0.6105000000000002
find_field_in_tables,0.51,0.7,0.6068999999999999
JOIN::make_tmp_tables_info,0.51,0.72,0.5980000000000003
vfs_write,0.48,0.67,0.5940000000000003
__memset_sse2,0.5,0.68,0.5934
Query_expression::cleanup,0.52,0.72,0.5887000000000002
do_sync_write,0.48,0.66,0.5840000000000001
MEM_ROOT::ForceNewBlock,0.5,0.68,0.5814999999999998
os_file_write_func,0.49,0.63,0.5722000000000002
Sql_cmd_update::prepare_inner,0.49,0.71,0.5701
futex_wait_queue_me,0.48,0.64,0.5588
THD::enter_stage,0.46,0.66,0.5564999999999999
CreateIteratorFromAccessPath,0.48,0.7,0.5552000000000001
trx_undo_assign_undo,0.15,0.87,0.5547
IndexRangeScanIterator::Init,0.46,0.64,0.5469999999999999
MEM_ROOT::AllocBlock,0.47,0.64,0.5450999999999999
sys_pwrite64,0.45,0.61,0.5446000000000001
do_softirq,0.47,0.87,0.5435000000000001
irq_exit,0.47,0.87,0.5435000000000001
call_softirq,0.47,0.87,0.5435000000000001
ib_log_writer,0.51,0.59,0.5433999999999999
__do_softirq,0.46,0.86,0.5410000000000003
[librt-2.17.so],0.54,0.54,0.54
check_table_access,0.46,0.6,0.5263
do_fsync,0.39,0.62,0.5192999999999999
locksys::Global_shared_latch_guard::Global_shared_latch_guard,0.06,1.25,0.5127000000000002
log_writer,0.47,0.56,0.5083000000000001
__vdso_gettimeofday,0.44,0.61,0.5073000000000003
ext4_sync_file,0.38,0.6,0.5051000000000001
Lex_hash::get_hash_symbol,0.4,0.59,0.5029999999999998
Buf_fetch<Buf_fetch_other>::single_page,0.06,0.82,0.49639999999999973
PTI_context::itemize,0.41,0.6,0.49620000000000003
check_access,0.43,0.59,0.4950000000000002
ha_innobase::external_lock,0.43,0.56,0.4899
__irqentry_text_start,0.41,0.56,0.4801
ret_from_intr,0.41,0.56,0.4801
IndexRangeScanIterator::shared_reset,0.4,0.56,0.47850000000000004
os_event::wait_time_low,0.42,0.51,0.4712999999999999
LEX::new_top_level_query,0.38,0.56,0.4685000000000001
lock_table_names,0.4,0.54,0.4636000000000001
JOIN::create_intermediate_table,0.39,0.54,0.45629999999999993
pthread_cond_timedwait@@GLIBC_2.3.2,0.4,0.5,0.45360000000000006
check_trx_exists,0.37,0.58,0.4497
THD::binlog_write_table_map,0.38,0.54,0.4486999999999999
sys_fsync,0.32,0.55,0.4486999999999998
[libcrypto.so.1.0.2k],0.37,0.59,0.44660000000000005
MaterializeIterator<DummyIteratorProfiler>::MaterializeQueryBlock,0.36,0.53,0.4455000000000002
filemap_write_and_wait_range,0.33,0.52,0.4385000000000001
Item_func::fix_func_arg,0.37,0.52,0.4379
LEX::new_query,0.36,0.52,0.43410000000000015
create_ref_for_key,0.37,0.53,0.4336000000000002
ha_innobase::build_template,0.32,0.5,0.42579999999999996
hrtimer_start_range_ns,0.33,0.51,0.42149999999999993
JOIN::create_access_paths,0.36,0.5,0.42080000000000006
InitIndexRangeScan,0.35,0.5,0.42019999999999996
page_rec_get_n_recs_before,0.34,0.51,0.4183
Optimize_table_order::choose_table_order,0.35,0.5,0.41819999999999985
find_field_in_table_ref,0.36,0.49,0.4179
__strcmp_sse42,0.35,0.49,0.4146
Query_block::cleanup,0.35,0.48,0.4065
JOIN::join_free,0.33,0.47,0.4036999999999999
close_thread_table,0.35,0.48,0.4023000000000001
Detached_thread::operator,0.17,0.54,0.4003999999999999
MDL_context::find_ticket,0.3,0.49,0.3920000000000002
__filemap_fdatawrite_range,0.28,0.47,0.3864
JOIN::create_root_access_path_for_join,0.32,0.46,0.3842000000000001
pfs_create_metadata_lock_vc,0.28,0.47,0.38250000000000006
generic_file_buffered_write,0.23,0.46,0.3819000000000001
do_writepages,0.27,0.47,0.38170000000000004
pthread_mutex_unlock,0.31,0.47,0.3758000000000001
ext4_writepages,0.27,0.46,0.3739999999999999
PFS_memory_safe_stat::count_alloc,0.27,0.44,0.3737000000000002
create_metadata_lock,0.26,0.47,0.3728
pthread_mutex_lock,0.31,0.44,0.3705999999999998
create_tmp_table,0.32,0.45,0.3693
PT_update::make_cmd,0.28,0.45,0.36729999999999996
fold_condition,0.3,0.45,0.36680000000000007
Protocol_classic::send_eof,0.3,0.45,0.3662
my_free,0.28,0.45,0.36579999999999985
btr_cur_pessimistic_insert,0.23,0.45,0.3643999999999999
copy_user_enhanced_fast_string,0.26,0.43,0.36239999999999994
"std::_Hashtable<std::string, std::pair<std::string const, std::unique_ptr<Table_cache_element, std::default_delete<Table_cache_element> > >, std::allocator<std::pair<std::string const, std::unique_ptr<Table_cache_element, std::default_delete<Table_cache_element> > > >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_find_before_node",0.29,0.45,0.353
Log_file_handle::write,0.29,0.41,0.3465999999999999
ib_log_flush,0.32,0.37,0.34510000000000013
pfs_memory_alloc_vc,0.27,0.43,0.34239999999999987
PT_select_item_list::contextualize,0.28,0.42,0.3421999999999999
Protocol_classic::send_field_metadata,0.27,0.41,0.34010000000000007
cmp_dtuple_rec_with_match_bytes,0.26,0.42,0.34
sock_alloc_send_pskb,0.27,0.41,0.3398999999999999
trx_undo_set_state_at_finish,0.06,0.56,0.3353
MDL_context::release_locks_stored_before,0.28,0.42,0.3324
log_flusher,0.31,0.36,0.32889999999999975
pfs_start_stage_v1,0.26,0.39,0.32529999999999987
AggregateIterator::Read,0.26,0.4,0.32359999999999994
__clock_gettime,0.25,0.38,0.3215999999999999
mtr_t::commit,0.26,0.39,0.31889999999999974
MYSQL_BIN_LOG::prepare,0.22,0.53,0.31339999999999973
"PFS_buffer_scalable_container<PFS_metadata_lock, 1024, 1024, PFS_buffer_default_array<PFS_metadata_lock>, PFS_buffer_default_allocator<PFS_metadata_lock> >::allocate",0.21,0.38,0.31220000000000003
Optimize_table_order::greedy_search,0.25,0.37,0.3107
MYSQL_BIN_LOG::process_flush_stage_queue,0.24,0.36,0.3082999999999998
Protocol_classic::send_ok,0.24,0.38,0.3023999999999999
JOIN::destroy,0.24,0.36,0.3023
MDL_ticket_store::find_in_lists,0.21,0.38,0.29919999999999985
CRYPTO_malloc,0.23,0.37,0.29910000000000014
PTI_simple_ident_ident::itemize,0.23,0.38,0.2975000000000001
mysql_audit_notify,0.22,0.39,0.2969999999999998
add_key_fields,0.24,0.37,0.29679999999999984
ha_prepare_low,0.21,0.51,0.2950999999999998
buf_flush_do_batch,0.1,0.5,0.2926999999999999
MDL_context::release_lock,0.22,0.36,0.2885000000000001
ut_lock_free_hash_t::get,0.21,0.35,0.2874999999999999
init_ref_part,0.22,0.37,0.2866999999999999
THD::set_time,0.23,0.35,0.2863
sock_def_readable,0.21,0.36,0.2843
