Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1763085042.083564,10337,13,1
2,Payment,1763085042.083940,11639,15,1
2,Payment,1763085042.084034,9964,6,1
1,NewOrder,1763085042.084089,61121,2,1
1,NewOrder,1763085042.087024,57620,7,1
2,Payment,1763085042.087976,14268,12,1
1,NewOrder,1763085042.093934,48309,13,1
2,Payment,1763085042.094018,22108,6,1
1,NewOrder,1763085042.095595,46835,15,1
3,OrderStatus,1763085042.096472,40562,1,1
1,NewOrder,1763085042.096478,45964,11,1
2,Payment,1763085042.097128,18999,14,1
2,Payment,1763085042.102262,14764,3,1
1,NewOrder,1763085042.102264,40069,12,1
2,Payment,1763085042.116155,22198,6,1
2,Payment,1763085042.116156,22288,14,1
5,StockLevel,1763085042.117044,22839,3,1
1,NewOrder,1763085042.137061,15790,1,1
2,Payment,1763085042.137087,7529,9,1
1,NewOrder,1763085042.138374,16337,6,1
1,NewOrder,1763085042.138458,15838,14,1
2,Payment,1763085042.139903,8244,3,1
1,NewOrder,1763085042.142262,56048,13,1
2,Payment,1763085042.142350,9624,12,1
2,Payment,1763085042.142448,7283,15,1
1,NewOrder,1763085042.142462,62722,11,1
1,NewOrder,1763085042.144378,53781,8,1
1,NewOrder,1763085042.144386,11983,10,1
4,Delivery,1763085042.144389,65038,0,1
1,NewOrder,1763085042.144619,54103,5,1
3,OrderStatus,1763085042.144644,1465,9,1
1,NewOrder,1763085042.144655,11704,7,1
1,NewOrder,1763085042.145233,52955,2,1
2,Payment,1763085042.146126,8200,9,1
2,Payment,1763085042.148166,25615,3,1
1,NewOrder,1763085042.149750,55455,15,1
2,Payment,1763085042.151990,21782,12,1
1,NewOrder,1763085042.152134,50807,4,1
2,Payment,1763085042.152874,45301,1,1
4,Delivery,1763085042.154315,110329,14,1
2,Payment,1763085042.154341,43801,9,1
1,NewOrder,1763085042.154732,50431,6,1
2,Payment,1763085042.156378,41898,7,1
1,NewOrder,1763085042.156386,48821,10,1
2,Payment,1763085042.173796,24403,12,1
2,Payment,1763085042.173806,24354,3,1
2,Payment,1763085042.198172,9237,9,1
4,Delivery,1763085042.198172,68478,3,1
2,Payment,1763085042.198184,6990,8,1
2,Payment,1763085042.198195,6980,1,1
2,Payment,1763085042.198206,7655,2,1
2,Payment,1763085042.198222,6973,12,1
1,NewOrder,1763085042.198287,15600,7,1
2,Payment,1763085042.198324,7995,13,1
1,NewOrder,1763085042.198741,14707,5,1
2,Payment,1763085042.202957,6473,4,1
4,Delivery,1763085042.205184,66209,6,1
2,Payment,1763085042.205195,8165,1,1
1,NewOrder,1763085042.205196,15067,8,1
2,Payment,1763085042.205207,8187,11,1
2,Payment,1763085042.205214,10580,12,1
2,Payment,1763085042.205220,8009,15,1
1,NewOrder,1763085042.205232,56891,10,1
1,NewOrder,1763085042.205878,56255,2,1
2,Payment,1763085042.206336,9483,13,1
2,Payment,1763085042.207428,10185,9,1
2,Payment,1763085042.209444,9831,4,1
1,NewOrder,1763085042.209447,57165,0,1
1,NewOrder,1763085042.213245,49170,15,1
2,Payment,1763085042.213374,24631,1,1
1,NewOrder,1763085042.213412,51106,11,1
1,NewOrder,1763085042.213457,50970,5,1
1,NewOrder,1763085042.213905,53074,7,1
1,NewOrder,1763085042.215812,46357,12,1
2,Payment,1763085042.215838,22199,13,1
1,NewOrder,1763085042.217644,48954,9,1
2,Payment,1763085042.219292,18713,4,1
1,NewOrder,1763085042.220281,41842,8,1
1,NewOrder,1763085042.238026,26388,1,1
1,NewOrder,1763085042.238028,28938,4,1
1,NewOrder,1763085042.238052,26374,13,1
2,Payment,1763085042.262154,6825,8,1
1,NewOrder,1763085042.262154,33224,10,1
1,NewOrder,1763085042.262161,35090,2,1
2,Payment,1763085042.262193,6796,12,1
1,NewOrder,1763085042.262434,32868,15,1
1,NewOrder,1763085042.264434,32811,1,1
2,Payment,1763085042.264445,4655,13,1
1,NewOrder,1763085042.264448,32959,5,1
1,NewOrder,1763085042.264537,30762,11,1
2,Payment,1763085042.264663,6730,14,1
1,NewOrder,1763085042.266615,30843,9,1
2,Payment,1763085042.266640,22897,0,1
3,OrderStatus,1763085042.266669,23630,3,1
1,NewOrder,1763085042.266986,28331,4,1
2,Payment,1763085042.266997,22674,7,1
1,NewOrder,1763085042.269007,26312,8,1
2,Payment,1763085042.269007,20529,12,1
2,Payment,1763085042.269127,23979,13,1
2,Payment,1763085042.271431,21691,6,1
1,NewOrder,1763085042.271437,23894,14,1
1,NewOrder,1763085042.289557,43185,12,1
1,NewOrder,1763085042.289560,43184,0,1
2,Payment,1763085042.289684,5621,7,1
1,NewOrder,1763085042.290316,60561,3,1
1,NewOrder,1763085042.293122,85957,13,1
1,NewOrder,1763085042.293142,14018,6,1
2,Payment,1763085042.295319,35144,11,1
2,Payment,1763085042.295323,30146,15,1
1,NewOrder,1763085042.295327,90081,7,1
2,Payment,1763085042.295335,30156,8,1
1,NewOrder,1763085042.295339,77275,4,1
2,Payment,1763085042.295343,30133,14,1
1,NewOrder,1763085042.295404,83379,10,1
3,OrderStatus,1763085042.297285,31086,1,1
1,NewOrder,1763085042.297285,81475,2,1
2,Payment,1763085042.297424,33041,5,1
1,NewOrder,1763085042.297475,35270,9,1
2,Payment,1763085042.307198,23265,6,1
1,NewOrder,1763085042.325493,53692,15,1
1,NewOrder,1763085042.325495,53303,14,1
1,NewOrder,1763085042.325505,53279,8,1
2,Payment,1763085042.328386,22480,1,1
1,NewOrder,1763085042.330478,48674,11,1
2,Payment,1763085042.330478,22509,6,1
1,NewOrder,1763085042.330480,48282,5,1
1,NewOrder,1763085042.332763,43908,0,1
2,Payment,1763085042.332763,20224,9,1
1,NewOrder,1763085042.332765,46034,12,1
3,OrderStatus,1763085042.350907,23110,3,1
2,Payment,1763085042.350907,21715,1,1
2,Payment,1763085042.353009,19605,6,1
2,Payment,1763085042.353021,19592,9,1
2,Payment,1763085042.372643,6148,1,1
1,NewOrder,1763085042.372643,17500,4,1
1,NewOrder,1763085042.372666,24323,6,1
2,Payment,1763085042.372673,6564,9,1
2,Payment,1763085042.374064,4749,3,1
1,NewOrder,1763085042.376694,13427,0,1
2,Payment,1763085042.378773,13923,2,1
2,Payment,1763085042.378774,11388,5,1
2,Payment,1763085042.378790,11381,10,1
1,NewOrder,1763085042.378795,16227,8,1
1,NewOrder,1763085042.378805,16236,1,1
2,Payment,1763085042.378812,11355,14,1
4,Delivery,1763085042.378813,67555,12,1
5,StockLevel,1763085042.378823,3871,3,1
1,NewOrder,1763085042.379088,13593,13,1
2,Payment,1763085042.379163,10996,11,1
2,Payment,1763085042.379192,10985,15,1
1,NewOrder,1763085042.379248,14280,9,1
1,NewOrder,1763085042.382708,10225,3,1
2,Payment,1763085042.385419,9272,7,1
5,StockLevel,1763085042.390131,4994,0,1
1,NewOrder,1763085042.390154,58182,4,1
2,Payment,1763085042.390167,11971,11,1
1,NewOrder,1763085042.390169,8897,5,1
2,Payment,1763085042.390182,4929,14,1
5,StockLevel,1763085042.390184,5282,10,1
1,NewOrder,1763085042.390187,56159,15,1
1,NewOrder,1763085042.392694,53632,13,1
1,NewOrder,1763085042.392710,48422,2,1
1,NewOrder,1763085042.392942,53405,3,1
1,NewOrder,1763085042.393538,52793,9,1
4,Delivery,1763085042.394706,87443,7,1
2,Payment,1763085042.395034,6249,8,1
1,NewOrder,1763085042.395053,53250,1,1
4,Delivery,1763085042.395120,91386,14,1
1,NewOrder,1763085042.395135,51224,0,1
2,Payment,1763085042.395477,5802,10,1
1,NewOrder,1763085042.396999,49330,6,1
2,Payment,1763085042.399076,4233,5,1
2,Payment,1763085042.401289,19511,10,1
2,Payment,1763085042.401292,19505,8,1
2,Payment,1763085042.402149,20765,11,1
1,NewOrder,1763085042.403318,45124,5,1
1,NewOrder,1763085042.420807,27510,8,1
2,Payment,1763085042.420811,23722,10,1
1,NewOrder,1763085042.422924,25682,11,1
2,Payment,1763085042.441142,5173,2,1
1,NewOrder,1763085042.444546,37744,10,1
1,NewOrder,1763085042.446326,33895,2,1
2,Payment,1763085042.446338,4485,13,1
2,Payment,1763085042.446342,4903,6,1
1,NewOrder,1763085042.446342,33880,9,1
1,NewOrder,1763085042.446358,35782,15,1
1,NewOrder,1763085042.446359,36978,3,1
5,StockLevel,1763085042.446366,2037,0,1
1,NewOrder,1763085042.446374,35824,12,1
1,NewOrder,1763085042.448314,31893,1,1
2,Payment,1763085042.448328,26072,8,1
2,Payment,1763085042.448347,26067,4,1
1,NewOrder,1763085042.448413,33828,0,1
1,NewOrder,1763085042.448449,31773,5,1
2,Payment,1763085042.448615,25808,11,1
1,NewOrder,1763085042.450832,31349,13,1
2,Payment,1763085042.451255,23160,6,1
2,Payment,1763085042.474413,5793,8,1
2,Payment,1763085042.474426,5782,6,1
1,NewOrder,1763085042.474428,9897,4,1
1,NewOrder,1763085042.474432,7741,11,1
1,NewOrder,1763085042.480225,40629,6,1
5,StockLevel,1763085042.480225,2803,1,1
1,NewOrder,1763085042.480229,72338,8,1
2,Payment,1763085042.480234,6228,2,1
1,NewOrder,1763085042.480234,40628,9,1
4,Delivery,1763085042.480237,90323,5,1
1,NewOrder,1763085042.482152,49597,15,1
4,Delivery,1763085042.482159,88403,7,1
1,NewOrder,1763085042.482184,88330,11,1
1,NewOrder,1763085042.482193,88324,13,1
1,NewOrder,1763085042.482210,88300,12,1
1,NewOrder,1763085042.482251,70311,0,1
1,NewOrder,1763085042.482300,92210,10,1
1,NewOrder,1763085042.483037,69523,1,1
1,NewOrder,1763085042.483346,69225,3,1
5,StockLevel,1763085042.484335,28838,4,1
2,Payment,1763085042.486473,12939,2,1
2,Payment,1763085042.486516,12890,14,1
2,Payment,1763085042.499419,12320,14,1
2,Payment,1763085042.499423,12328,2,1
5,StockLevel,1763085042.511751,23069,14,1
2,Payment,1763085042.511761,20006,2,1
1,NewOrder,1763085042.513183,61299,4,1
2,Payment,1763085042.520862,13725,6,1
1,NewOrder,1763085042.520872,53614,9,1
1,NewOrder,1763085042.531758,38759,15,1
1,NewOrder,1763085042.531779,45436,2,1
1,NewOrder,1763085042.534595,35934,6,1
2,Payment,1763085042.534827,35701,14,1
2,Payment,1763085042.552571,21909,1,1
1,NewOrder,1763085042.552573,30176,0,1
2,Payment,1763085042.552578,21891,8,1
1,NewOrder,1763085042.552583,30157,3,1
2,Payment,1763085042.570523,6858,12,1
1,NewOrder,1763085042.570526,12189,11,1
1,NewOrder,1763085042.570533,23131,13,1
2,Payment,1763085042.570535,6881,15,1
